year,hours,species,how_many
2016,278,Empidonax sp.,1
2017,293.6,Black-bellied Whistling-Duck,662
2017,293.6,Snow Goose-White,1
2017,293.6,Muscovy Duck,252
2017,293.6,Wood Duck,562
2017,293.6,Gadwall,120
2017,293.6,American Wigeon,33
2017,293.6,Mallard,2
2017,293.6,Mottled Duck,109
2017,293.6,Blue-winged Teal,1014
2017,293.6,Northern Shoveler,106
2017,293.6,Northern Pintail,9
2017,293.6,Green-winged Teal,163
2017,293.6,Ring-necked Duck,1811
2017,293.6,Lesser Scaup,24
2017,293.6,Bufflehead,25
2017,293.6,Hooded Merganser,203
2017,293.6,Ruddy Duck,3
2017,293.6,Northern Bobwhite,16
2017,293.6,Wild Turkey,6
2017,293.6,Pied-billed Grebe,126
2017,293.6,Rock Pigeon,59
2017,293.6,Eurasian Collared Dove,9
2017,293.6,Mourning Dove,473
2017,293.6,Whip-Poor-Will,1
2017,293.6,King Rail,5
2017,293.6,Virginia Rail,3
2017,293.6,Sora,54
2017,293.6,Common Gallinule,991
2017,293.6,American Coot,5138
2017,293.6,Limpkin,235
2017,293.6,Sandhill Crane,6012
2017,293.6,Killdeer,244
2017,293.6,Least Sandpiper,42
2017,293.6,Wilson's Snipe,288
2017,293.6,American Woodcock,1
2017,293.6,Spotted Sandpiper,1
2017,293.6,Greater Yellowlegs,89
2017,293.6,Lesser Yellowlegs,11
2017,293.6,Bonaparte's Gull,6
2017,293.6,Laughing Gull,9
2017,293.6,Ring-billed Gull,310
2017,293.6,Herring Gull,5
2017,293.6,Forster's Tern,12
2017,293.6,Common Loon,8
2017,293.6,Wood Stork,44
2017,293.6,Double-crested Cormorant,679
2017,293.6,Anhinga,316
2017,293.6,American White Pelican,7
2017,293.6,American Bittern,26
2017,293.6,Great Blue Heron,186
2017,293.6,Great Egret,375
2017,293.6,Snowy Egret,197
2017,293.6,Little Blue Heron,316
2017,293.6,Tricolored Heron,77
2017,293.6,Cattle Egret,65
2017,293.6,Green Heron,35
2017,293.6,Black-crowned Night-Heron,132
2017,293.6,White Ibis,1805
2017,293.6,Glossy Ibis,355
2017,293.6,Black Vulture,477
2017,293.6,Turkey Vulture,912
2017,293.6,Osprey,7
2017,293.6,Bald Eagle,79
2017,293.6,Northern Harrier,32
2017,293.6,Sharp-shinned Hawk,5
2017,293.6,Cooper's Hawk,11
2017,293.6,Red-shouldered Hawk,197
2017,293.6,Red-tailed Hawk,47
2017,293.6,Barn Owl,1
2017,293.6,Eastern Screech-Owl,13
2017,293.6,Great Horned Owl,40
2017,293.6,Barred Owl,63
2017,293.6,Belted Kingfisher,83
2017,293.6,Red-headed Woodpecker,6
2017,293.6,Red-bellied Woodpecker,384
2017,293.6,Yellow-bellied Sapsucker,87
2017,293.6,Downy Woodpecker,174
2017,293.6,Northern Flicker,94
2017,293.6,Pileated Woodpecker,173
2017,293.6,American Kestrel,58
2017,293.6,Merlin,4
2017,293.6,Eastern Phoebe,591
2017,293.6,Loggerhead Shrike,28
2017,293.6,White-eyed Vireo,117
2017,293.6,Blue-headed Vireo,131
2017,293.6,Blue Jay,282
2017,293.6,American Crow,813
2017,293.6,Fish Crow,136
2017,293.6,Tree Swallow,3204
2017,293.6,Carolina Chickadee,379
2017,293.6,Tufted Titmouse,423
2017,293.6,Brown-headed Nuthatch,8
2017,293.6,House Wren,282
2017,293.6,Sedge Wren,37
2017,293.6,Marsh Wren,36
2017,293.6,Carolina Wren,453
2017,293.6,Blue-gray Gnatcatcher,858
2017,293.6,Golden-crowned Kinglet,1
2017,293.6,Ruby-crowned Kinglet,934
2017,293.6,Eastern Bluebird,257
2017,293.6,Hermit Thrush,79
2017,293.6,American Robin,3088
2017,293.6,Gray Catbird,150
2017,293.6,Brown Thrasher,17
2017,293.6,Northern Mockingbird,147
2017,293.6,European Starling,23
2017,293.6,Cedar Waxwing,261
2017,293.6,House Sparrow,18
2017,293.6,American Pipit,2
2017,293.6,House Finch,74
2017,293.6,American Goldfinch,333
2017,293.6,Ovenbird,11
2017,293.6,Northern Waterthrush,4
2017,293.6,Black-and-White Warbler,138
2017,293.6,Orange-crowned Warbler,96
2017,293.6,Common Yellowthroat,204
2017,293.6,American Redstart,4
2017,293.6,Northern Parula,3
2017,293.6,Palm Warbler,1157
2017,293.6,Pine Warbler,286
2017,293.6,Yellow-rumped Warbler,1532
2017,293.6,Yellow-throated Warbler,55
2017,293.6,Prairie Warbler,6
2017,293.6,Wilson's Warbler,2
2017,293.6,Yellow-breasted Chat,1
2017,293.6,Eastern Towhee,87
2017,293.6,Field Sparrow,3
2017,293.6,Chipping Sparrow,712
2017,293.6,Vesper Sparrow,40
2017,293.6,Savannah Sparrow,224
2017,293.6,Grasshopper Sparrow,5
2017,293.6,Henslow's Sparrow,10
2017,293.6,Song Sparrow,40
2017,293.6,Swamp Sparrow,257
2017,293.6,White-throated Sparrow,5
2017,293.6,White-crowned Sparrow,1
2017,293.6,Northern Cardinal,642
2017,293.6,Painted Bunting,13
2017,293.6,Red-winged Blackbird,9922
2017,293.6,Eastern Meadowlark,174
2017,293.6,Common Grackle,691
2017,293.6,Boat-tailed Grackle,1502
2017,293.6,Brown-headed Cowbird,592
2017,293.6,Baltimore Oriole,49
2017,293.6,Red-breasted Merganser,3
2017,293.6,Least Bittern,4
2017,293.6,Yellow-crowned Night-Heron,1
2017,293.6,Roseate Spoonbill,2
2017,293.6,Purple Gallinule,1
2017,293.6,Long-billed Dowitcher,2
2017,293.6,Ash-throated Flycatcher,1
2017,293.6,Vaux's Swift,4
2017,293.6,Indigo Bunting,4
2017,293.6,Summer Tanager,3
2017,293.6,Western Tanager,1
2017,293.6,Brown Creeper,1
2017,293.6,Ruby-throated Hummingbird,1
2018,303.5,Black-bellied Whistling-Duck,1340
2018,303.5,Snow Goose-White,0
2018,303.5,Muscovy Duck,228
2018,303.5,Wood Duck,654
2018,303.5,Gadwall,17
2018,303.5,American Wigeon,7
2018,303.5,Mallard,6
2018,303.5,Mottled Duck,165
2018,303.5,Blue-winged Teal,613
2018,303.5,Northern Shoveler,14
2018,303.5,Northern Pintail,24
2018,303.5,Green-winged Teal,596
2018,303.5,Redhead,2
2018,303.5,Ring-necked Duck,3431
2018,303.5,Lesser Scaup,16
2018,303.5,Bufflehead,48
2018,303.5,Common Goldeneye,2
2018,303.5,Hooded Merganser,100
2018,303.5,Ruddy Duck,113
2018,303.5,Northern Bobwhite,1
2018,303.5,Wild Turkey,34
2018,303.5,Pied-billed Grebe,128
2018,303.5,Horned Grebe,2
2018,303.5,Rock Pigeon,23
2018,303.5,Eurasian Collared Dove,2
2018,303.5,Common Ground-Dove,3
2018,303.5,Mourning Dove,224
2018,303.5,Whip-Poor-Will,4
2018,303.5,King Rail,7
2018,303.5,Virginia Rail,6
2018,303.5,Sora,34
2018,303.5,Common Gallinule,1318
2018,303.5,American Coot,3499
2018,303.5,Limpkin,544
2018,303.5,Sandhill Crane,3281
2018,303.5,Killdeer,255
2018,303.5,Least Sandpiper,23
2018,303.5,Wilson's Snipe,277
2018,303.5,American Woodcock,2
2018,303.5,Spotted Sandpiper,9
2018,303.5,Greater Yellowlegs,23
2018,303.5,Lesser Yellowlegs,4
2018,303.5,Bonaparte's Gull,26
2018,303.5,Laughing Gull,5
2018,303.5,Ring-billed Gull,316
2018,303.5,Herring Gull,2
2018,303.5,Forster's Tern,2
2018,303.5,Common Loon,4
2018,303.5,Wood Stork,120
2018,303.5,Double-crested Cormorant,857
2018,303.5,Anhinga,592
2018,303.5,American White Pelican,62
2018,303.5,American Bittern,17
2018,303.5,Great Blue Heron,244
2018,303.5,Great Egret,309
2018,303.5,Snowy Egret,475
2018,303.5,Little Blue Heron,493
2018,303.5,Tricolored Heron,129
2018,303.5,Cattle Egret,245
2018,303.5,Green Heron,48
2018,303.5,Black-crowned Night-Heron,142
2018,303.5,White Ibis,2587
2018,303.5,Glossy Ibis,405
2018,303.5,Black Vulture,546
2018,303.5,Turkey Vulture,781
2018,303.5,Osprey,8
2018,303.5,"Bald Eagle, Adult",63
2018,303.5,"Bald Eagle, Immature",30
2018,303.5,"Bald Eagle, Unknown",7
2018,303.5,Northern Harrier,38
2018,303.5,Sharp-shinned Hawk,8
2018,303.5,Cooper's Hawk,17
2018,303.5,"Accipiter, sp.",2
2018,303.5,Red-shouldered Hawk,253
2018,303.5,Red-tailed Hawk,71
2018,303.5,Barn Owl,2
2018,303.5,Eastern Screech-Owl,18
2018,303.5,Great Horned Owl,31
2018,303.5,Barred Owl,50
2018,303.5,Belted Kingfisher,100
2018,303.5,Red-headed Woodpecker,24
2018,303.5,Red-bellied Woodpecker,408
2018,303.5,Yellow-bellied Sapsucker,115
2018,303.5,Downy Woodpecker,151
2018,303.5,Northern Flicker,56
2018,303.5,Pileated Woodpecker,130
2018,303.5,American Kestrel,52
2018,303.5,Merlin,4
2018,303.5,Eastern Phoebe,548
2018,303.5,Vermilion Flycatcher,1
2018,303.5,Loggerhead Shrike,23
2018,303.5,White-eyed Vireo,100
2018,303.5,Blue-headed Vireo,128
2018,303.5,Blue Jay,264
2018,303.5,American Crow,630
2018,303.5,Fish Crow,158
2018,303.5,"Crow, sp.",42
2018,303.5,Tree Swallow,1294
2018,303.5,Carolina Chickadee,351
2018,303.5,Tufted Titmouse,450
2018,303.5,Brown-headed Nuthatch,12
2018,303.5,House Wren,233
2018,303.5,Sedge Wren,34
2018,303.5,Marsh Wren,45
